,date,peak_load
0,20140101,22980.0
1,20140102,26037.0
2,20140103,26497.0
3,20140104,24517.0
4,20140105,22995.0
5,20140106,26233.0
6,20140107,26999.0
7,20140108,26694.0
8,20140109,26782.0
9,20140110,26398.0
10,20140111,24601.0
11,20140112,23329.0
12,20140113,26879.0
13,20140114,27120.0
14,20140115,26727.0
15,20140116,26581.0
16,20140117,26256.0
17,20140118,24749.0
18,20140119,23643.0
19,20140120,26773.0
20,20140121,27030.0
21,20140122,26717.0
22,20140123,26660.0
23,20140124,26364.0
24,20140125,24373.0
25,20140126,23538.0
26,20140127,25467.0
27,20140128,24727.0
28,20140129,22120.0
29,20140130,19126.0
30,20140131,18828.0
31,20140201,18790.0
32,20140202,19816.0
33,20140203,20580.0
34,20140204,21593.0
35,20140205,25065.0
36,20140206,26063.0
37,20140207,26001.0
38,20140208,24103.0
39,20140209,23434.0
40,20140210,26491.0
41,20140211,26904.0
42,20140212,26887.0
43,20140213,26827.0
44,20140214,26129.0
45,20140215,24778.0
46,20140216,23391.0
47,20140217,26690.0
48,20140218,26949.0
49,20140219,26622.0
50,20140220,26499.0
51,20140221,26155.0
52,20140222,24231.0
53,20140223,23161.0
54,20140224,26235.0
55,20140225,26507.0
56,20140226,26458.0
57,20140227,26455.0
58,20140228,24705.0
59,20140301,23821.0
60,20140302,22911.0
61,20140303,25956.0
62,20140304,26731.0
63,20140305,26345.0
64,20140306,26747.0
65,20140307,26455.0
66,20140308,24650.0
67,20140309,23380.0
68,20140310,26468.0
69,20140311,26762.0
70,20140312,26909.0
71,20140313,26688.0
72,20140314,26221.0
73,20140315,24385.0
74,20140316,23286.0
75,20140317,26523.0
76,20140318,27143.0
77,20140319,27634.0
78,20140320,26591.0
79,20140321,26118.0
80,20140322,24018.0
81,20140323,23054.0
82,20140324,26622.0
83,20140325,27030.0
84,20140326,27639.0
85,20140327,27989.0
86,20140328,28116.0
87,20140329,26039.0
88,20140330,23890.0
89,20140331,26955.0
90,20140401,26984.0
91,20140402,26804.0
92,20140403,26682.0
93,20140404,24599.0
94,20140405,22585.0
95,20140406,23039.0
96,20140407,27035.0
97,20140408,27718.0
98,20140409,27586.0
99,20140410,27704.0
100,20140411,27790.0
101,20140412,26000.0
102,20140413,24989.0
103,20140414,27131.0
104,20140415,27748.0
105,20140416,27938.0
106,20140417,28631.0
107,20140418,28508.0
108,20140419,26538.0
109,20140420,24525.0
110,20140421,28260.0
111,20140422,28352.0
112,20140423,27646.0
113,20140424,28475.0
114,20140425,28554.0
115,20140426,25878.0
116,20140427,25031.0
117,20140428,27667.0
118,20140429,27585.0
119,20140430,27383.0
120,20140501,25805.0
121,20140502,27377.0
122,20140503,24954.0
123,20140504,24692.0
124,20140505,26793.0
125,20140506,27190.0
126,20140507,27550.0
127,20140508,28140.0
128,20140509,28108.0
129,20140510,25642.0
130,20140511,25312.0
131,20140512,29428.0
132,20140513,29535.0
133,20140514,30494.0
134,20140515,30017.0
135,20140516,29614.0
136,20140517,28223.0
137,20140518,26200.0
138,20140519,29807.0
139,20140520,29949.0
140,20140521,28496.0
141,20140522,29368.0
142,20140523,29052.0
143,20140524,27239.0
144,20140525,26778.0
145,20140526,31172.0
146,20140527,31026.0
147,20140528,31508.0
148,20140529,30938.0
149,20140530,31056.0
150,20140531,28277.0
151,20140601,26712.0
152,20140602,27998.0
153,20140603,30511.0
154,20140604,30755.0
155,20140605,30711.0
156,20140606,30316.0
157,20140607,28712.0
158,20140608,26289.0
159,20140609,30285.0
160,20140610,30400.0
161,20140611,29857.0
162,20140612,29977.0
163,20140613,30409.0
164,20140614,27939.0
165,20140615,26811.0
166,20140616,31070.0
167,20140617,32036.0
168,20140618,32816.0
169,20140619,32761.0
170,20140620,32604.0
171,20140621,30418.0
172,20140622,28425.0
173,20140623,32536.0
174,20140624,32366.0
175,20140625,32578.0
176,20140626,32754.0
177,20140627,33240.0
178,20140628,30231.0
179,20140629,28652.0
180,20140630,33086.0
181,20140701,33610.0
182,20140702,33933.0
183,20140703,34208.0
184,20140704,34258.0
185,20140705,31443.0
186,20140706,30281.0
187,20140707,34843.0
188,20140708,33199.0
189,20140709,34728.0
190,20140710,34814.0
191,20140711,34760.0
192,20140712,31355.0
193,20140713,30222.0
194,20140714,34971.0
195,20140715,34972.0
196,20140716,34561.0
197,20140717,34947.0
198,20140718,34620.0
199,20140719,31251.0
200,20140720,29033.0
201,20140721,34100.0
202,20140722,34089.0
203,20140723,26808.0
204,20140724,32370.0
205,20140725,32829.0
206,20140726,30023.0
207,20140727,28643.0
208,20140728,33702.0
209,20140729,33984.0
210,20140730,34207.0
211,20140731,34161.0
212,20140801,34314.0
213,20140802,31819.0
214,20140803,29235.0
215,20140804,33741.0
216,20140805,32752.0
217,20140806,33303.0
218,20140807,33864.0
219,20140808,33896.0
220,20140809,30306.0
221,20140810,28429.0
222,20140811,32210.0
223,20140812,32001.0
224,20140813,31205.0
225,20140814,32392.0
226,20140815,33486.0
227,20140816,31289.0
228,20140817,29014.0
229,20140818,33249.0
230,20140819,32196.0
231,20140820,31679.0
232,20140821,32633.0
233,20140822,32940.0
234,20140823,29363.0
235,20140824,28842.0
236,20140825,33445.0
237,20140826,33762.0
238,20140827,34053.0
239,20140828,33922.0
240,20140829,33921.0
241,20140830,30897.0
242,20140831,28734.0
243,20140901,33379.0
244,20140902,33656.0
245,20140903,33853.0
246,20140904,33575.0
247,20140905,33719.0
248,20140906,30816.0
249,20140907,27491.0
250,20140908,27942.0
251,20140909,33328.0
252,20140910,33013.0
253,20140911,33344.0
254,20140912,33185.0
255,20140913,30297.0
256,20140914,29210.0
257,20140915,34157.0
258,20140916,34305.0
259,20140917,34529.0
260,20140918,34317.0
261,20140919,33889.0
262,20140920,31099.0
263,20140921,26515.0
264,20140922,30901.0
265,20140923,31638.0
266,20140924,31981.0
267,20140925,31767.0
268,20140926,31876.0
269,20140927,28571.0
270,20140928,26675.0
271,20140929,31668.0
272,20140930,31839.0
273,20141001,31274.0
274,20141002,31377.0
275,20141003,30349.0
276,20141004,26331.0
277,20141005,24660.0
278,20141006,28171.0
279,20141007,28216.0
280,20141008,28539.0
281,20141009,28719.0
282,20141010,26499.0
283,20141011,25031.0
284,20141012,24173.0
285,20141013,27939.0
286,20141014,27655.0
287,20141015,27408.0
288,20141016,27819.0
289,20141017,27944.0
290,20141018,25875.0
291,20141019,24749.0
292,20141020,29545.0
293,20141021,29878.0
294,20141022,28869.0
295,20141023,28505.0
