,date,peak_load
0,20180101,23638
1,20180102,27816
2,20180103,28253
3,20180104,28757
4,20180105,28260
5,20180106,26062
6,20180107,25011
7,20180108,28801
8,20180109,28910
9,20180110,28410
10,20180111,28583
11,20180112,28093
12,20180113,25694
13,20180114,24705
14,20180115,28269
15,20180116,28285
16,20180117,28340
17,20180118,29076
18,20180119,28467
19,20180120,25883
20,20180121,24695
21,20180122,28264
22,20180123,28381
23,20180124,28228
24,20180125,28352
25,20180126,27537
26,20180127,25383
27,20180128,24535
28,20180129,28397
29,20180130,28606
30,20180131,28364
31,20180201,28521
32,20180202,28202
33,20180203,26353
34,20180204,26273
35,20180205,29059
36,20180206,28510
37,20180207,28889
38,20180208,28436
39,20180209,28302
40,20180210,26015
41,20180211,25349
42,20180212,27324
43,20180213,26300
44,20180214,23482
45,20180215,20979
46,20180216,20759
47,20180217,20282
48,20180218,20987
49,20180219,22071
50,20180220,23261
51,20180221,26510
52,20180222,27283
53,20180223,27093
54,20180224,25317
55,20180225,24690
56,20180226,27435
57,20180227,27818
58,20180228,26394
59,20180301,28372
60,20180302,28143
61,20180303,26052
62,20180304,25431
63,20180305,29460
64,20180306,27989
65,20180307,28469
66,20180308,27944
67,20180309,27617
68,20180310,24946
69,20180311,24245
70,20180312,27935
71,20180313,28418
72,20180314,28536
73,20180315,28941
74,20180316,28620
75,20180317,25794
76,20180318,24808
77,20180319,29102
78,20180320,28823
79,20180321,27699
80,20180322,27982
81,20180323,27642
82,20180324,25149
83,20180325,24573
84,20180326,28383
85,20180327,28602
86,20180328,28752
87,20180329,28983
88,20180330,28897
89,20180331,27845
90,20180401,25072
91,20180402,29047
92,20180403,29267
93,20180404,26121
94,20180405,24981
95,20180406,24450
96,20180407,23940
97,20180408,23895
98,20180409,28232
99,20180410,28728
100,20180411,30193
101,20180412,30645
102,20180413,31068
103,20180414,27721
104,20180415,24630
105,20180416,28365
106,20180417,28399
107,20180418,28521
108,20180419,29442
109,20180420,29380
110,20180421,26962
111,20180422,26356
112,20180423,31487
113,20180424,31110
114,20180425,29570
115,20180426,29944
116,20180427,30356
117,20180428,26835
118,20180429,26074
119,20180430,30086
120,20180501,28665
121,20180502,32351
122,20180503,30659
123,20180504,30638
124,20180505,27477
125,20180506,27517
126,20180507,32762
127,20180508,31729
128,20180509,30104
129,20180510,30174
130,20180511,30735
131,20180512,27439
132,20180513,27088
133,20180514,32914
134,20180515,33518
135,20180516,34235
136,20180517,34692
137,20180518,35061
138,20180519,30567
139,20180520,29607
140,20180521,34269
141,20180522,34776
142,20180523,34892
143,20180524,34099
144,20180525,35023
145,20180526,30416
146,20180527,30287
147,20180528,36007
148,20180529,36329
149,20180530,36771
150,20180531,36713
151,20180601,33549
152,20180602,29031
153,20180603,28480
154,20180604,34478
155,20180605,35302
156,20180606,35802
157,20180607,35702
158,20180608,36102
159,20180609,31775
160,20180610,29798
161,20180611,32557
162,20180612,33517
163,20180613,34034
164,20180614,33737
165,20180615,31614
166,20180616,28619
167,20180617,27261
168,20180618,27948
169,20180619,32063
170,20180620,32244
171,20180621,33176
172,20180622,33748
173,20180623,30175
174,20180624,29174
175,20180625,35108
176,20180626,35259
177,20180627,35122
178,20180628,35448
179,20180629,34966
180,20180630,30484
181,20180701,29016
182,20180702,33151
183,20180703,34138
184,20180704,33744
185,20180705,33157
186,20180706,34306
187,20180707,30399
188,20180708,28916
189,20180709,34951
190,20180710,34753
191,20180711,31203
192,20180712,34408
193,20180713,34990
194,20180714,31279
195,20180715,29296
196,20180716,35178
197,20180717,36200
198,20180718,36460
199,20180719,36705
200,20180720,35740
201,20180721,31327
202,20180722,29333
203,20180723,34239
204,20180724,35976
205,20180725,35901
206,20180726,35806
207,20180727,35675
208,20180728,31376
209,20180729,30623
210,20180730,36318
211,20180731,36906
212,20180801,37351
213,20180802,36122
214,20180803,36116
215,20180804,31905
216,20180805,29660
217,20180806,36089
218,20180807,36132
219,20180808,36191
220,20180809,35872
221,20180810,36020
222,20180811,31721
223,20180812,30095
224,20180813,34739
225,20180814,34827
226,20180815,33954
227,20180816,34368
228,20180817,35182
229,20180818,30087
230,20180819,28654
231,20180820,34375
232,20180821,34675
233,20180822,34783
234,20180823,34745
235,20180824,30158
236,20180825,29174
237,20180826,28097
238,20180827,32329
239,20180828,31922
240,20180829,32109
241,20180830,31886
242,20180831,32264
243,20180901,28928
244,20180902,28176
245,20180903,33843
246,20180904,35163
247,20180905,35238
248,20180906,34890
249,20180907,34524
250,20180908,29661
251,20180909,26810
252,20180910,31645
253,20180911,33276
254,20180912,34117
255,20180913,34521
256,20180914,34631
257,20180915,29281
258,20180916,28947
259,20180917,35098
260,20180918,35327
261,20180919,34991
262,20180920,35019
263,20180921,34892
264,20180922,30272
265,20180923,27876
266,20180924,27223
267,20180925,32749
268,20180926,31949
269,20180927,31946
270,20180928,31510
271,20180929,26812
272,20180930,25505
273,20181001,30707
274,20181002,30992
275,20181003,30579
276,20181004,29852
277,20181005,30375
278,20181006,27097
279,20181007,25871
280,20181008,30873
281,20181009,31288
282,20181010,27562
283,20181011,29875
284,20181012,29172
285,20181013,26162
286,20181014,25687
287,20181015,30538
288,20181016,31462
289,20181017,30079
290,20181018,30097
291,20181019,29952
292,20181020,26206
293,20181021,25377
294,20181022,30240
295,20181023,30450
296,20181024,30549
297,20181025,31029
298,20181026,31014
299,20181027,25586
300,20181028,24289
