日期,備轉容量率(%),備轉容量(MW)
2014/01/01,18.86,4334
2014/01/02,15.82,4119
2014/01/03,13.56,3593
2014/01/04,17.07,4185
2014/01/05,19.2,4415
2014/01/06,16.54,4339
2014/01/07,13.46,3634
2014/01/08,16.12,4303
2014/01/09,14.42,3862
2014/01/10,17.27,4559
2014/01/11,15.91,3914
2014/01/12,17.39,4057
2014/01/13,15.06,4048
2014/01/14,13.3,3607
2014/01/15,15.4,4116
2014/01/16,15.15,4027
2014/01/17,18.35,4818
2014/01/18,17.9,4430
2014/01/19,17.32,4095
2014/01/20,15.93,4265
2014/01/21,15.59,4214
2014/01/22,12.52,3345
2014/01/23,14.19,3783
2014/01/24,17.6,4640
2014/01/25,19.71,4804
2014/01/26,18.2,4284
2014/01/27,17.98,4579
2014/01/28,19.59,4844
2014/01/29,21.13,4674
2014/01/30,20.95,4007
2014/01/31,21.51,4050
2014/02/01,23.14,4348
2014/02/02,19.58,3880
2014/02/03,18.29,3764
2014/02/04,21.84,4716
2014/02/05,16.05,4023
2014/02/06,13.64,3555
2014/02/07,13.53,3518
2014/02/08,17.62,4247
2014/02/09,15.17,3555
2014/02/10,13.45,3563
2014/02/11,11.82,3180
2014/02/12,12.69,3412
2014/02/13,16.39,4397
2014/02/14,18.11,4732
2014/02/15,15.55,3853
2014/02/16,18.58,4346
2014/02/17,16.83,4492
2014/02/18,16.98,4576
2014/02/19,19.57,5210
2014/02/20,18.51,4905
2014/02/21,17.53,4585
2014/02/22,18.39,4456
2014/02/23,16.64,3854
2014/02/24,17.08,4481
2014/02/25,19.47,5161
2014/02/26,18.35,4855
2014/02/27,16.73,4426
2014/02/28,16.09,3975
2014/03/01,16.41,3909
2014/03/02,21.06,4825
2014/03/03,19.56,5077
2014/03/04,15.51,4146
2014/03/05,19.07,5024
2014/03/06,16.11,4309
2014/03/07,15.88,4201
2014/03/08,15.01,3700
2014/03/09,17.81,4164
2014/03/10,16.62,4399
2014/03/11,16.49,4413
2014/03/12,16.11,4335
2014/03/13,16.82,4489
2014/03/14,17.86,4683
2014/03/15,17.63,4299
2014/03/16,16.77,3905
2014/03/17,15.79,4188
2014/03/18,15.96,4332
2014/03/19,14.92,4123
2014/03/20,19.45,5172
2014/03/21,19.32,5046
2014/03/22,21.48,5159
2014/03/23,19.12,4408
2014/03/24,15.04,4004
2014/03/25,14.88,4022
2014/03/26,14.4,3980
2014/03/27,13.18,3689
2014/03/28,13.11,3686
2014/03/29,15.2,3958
2014/03/30,15.22,3636
2014/03/31,15.17,4089
2014/04/01,16.58,4474
2014/04/02,15.49,4152
2014/04/03,15.22,4061
2014/04/04,14.83,3648
2014/04/05,21.97,4962
2014/04/06,20.17,4647
2014/04/07,15.58,4212
2014/04/08,14.02,3886
2014/04/09,15.2,4193
2014/04/10,17.68,4898
2014/04/11,14.3,3974
2014/04/12,16.5,4290
2014/04/13,18.06,4513
2014/04/14,17.08,4634
2014/04/15,12.08,3352
2014/04/16,15.18,4241
2014/04/17,13.73,3931
2014/04/18,14.01,3994
2014/04/19,15.05,3994
2014/04/20,19.49,4780
2014/04/21,11.55,3264
2014/04/22,11.47,3252
2014/04/23,14.74,4075
2014/04/24,11.02,3138
2014/04/25,11.41,3258
2014/04/26,19.24,4979
2014/04/27,16.08,4025
2014/04/28,16.89,4673
2014/04/29,15.32,4226
2014/04/30,14.52,3976
2014/05/01,20.07,5179
2014/05/02,14.83,4060
2014/05/03,21.6,5390
2014/05/04,14.62,3610
2014/05/05,18.18,4871
2014/05/06,16.23,4413
2014/05/07,16.53,4554
2014/05/08,13.17,3706
2014/05/09,13.11,3685
2014/05/10,16.89,4331
2014/05/11,16.85,4265
2014/05/12,9.44,2778
2014/05/13,12.9,3810
2014/05/14,8.9,2714
2014/05/15,11.74,3524
2014/05/16,14.51,4297
2014/05/17,8.89,2509
2014/05/18,17.79,4661
2014/05/19,11.4,3398
2014/05/20,11.66,3492
2014/05/21,17.02,4850
2014/05/22,13.93,4091
2014/05/23,15.4,4474
2014/05/24,17.82,4854
2014/05/25,18.81,5037
2014/05/26,11.77,3669
2014/05/27,11.99,3720
2014/05/28,9.15,2883
2014/05/29,13.76,4257
2014/05/30,14.59,4531
2014/05/31,14.97,4233
2014/06/01,18.92,5054
2014/06/02,10.89,3049
2014/06/03,14.87,4537
2014/06/04,13.65,4198
2014/06/05,15.75,4837
2014/06/06,16.75,5078
2014/06/07,13.82,3968
2014/06/08,22.66,5957
2014/06/09,16.49,4994
2014/06/10,14.74,4481
2014/06/11,16.83,5025
2014/06/12,13.12,3933
2014/06/13,11.99,3646
2014/06/14,14.51,4054
2014/06/15,17.56,4708
2014/06/16,11.21,3483
2014/06/17,8.94,2864
2014/06/18,7.35,2412
2014/06/19,11.7,3833
2014/06/20,13.52,4408
2014/06/21,13.89,4225
