,日期,淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),核一#1(萬瓩),核一#2(萬瓩),核二#1(萬瓩),核二#2(萬瓩),核三#1,核三#2,林口#1,林口#2,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,興達#1,興達#2,興達#3,興達#4,大林#1,大林#2,和平#1,和平#2,麥寮#1,麥寮#2,麥寮#3,汽電共生,大潭 (#1-#6),通霄 (#1-#6),興達 (#1-#5),南部 (#1-#4),大林(#5-#6),海湖 (#1-#2),國光 #1,新桃#1,星彰#1,星元#1,嘉惠#1,豐德(#1-#2),協和 (#1-#4),大林(#3-#4),氣渦輪,離島,德基,青山,谷關,天輪,馬鞍,萬大,大觀,鉅工,大觀二,明潭,碧海,立霧,龍澗,卓蘭,水里,其他小水力,風力發電,太陽能發電
0,20170101,24957,22886,2071,9.05,268.503,196.229,0,62.8,0.0,0.0,94.4,94.2,0.0,0.0,53.2,52.9,53.8,53.1,54.1,52.9,52.9,53.3,0.0,52.7,47.7,47.9,51.9,0.0,,,57.2,0.0,28.1,52.2,57.0,72.2,335.0,113.5,125.2,71.4,94.4,0.0,44.3,0.0,0.0,22.5,0.0,101.5,71.8,0.0,0.0,10.2,2.8,2.0,0.0,1.9,0.8,0.5,2.0,0.7,28.6,65.9,0.0,0.0,0.6,2.0,0.0,6.2,12.2,0.0
1,20170102,26035,24483,1552,6.34,280.534,205.02200000000002,0,62.8,0.0,0.0,94.4,94.2,0.0,0.0,53.1,52.9,53.7,52.8,54.3,52.7,52.8,53.3,0.0,52.6,47.6,47.9,51.8,0.0,,,57.2,0.0,42.6,57.2,57.0,91.6,333.0,113.6,128.4,74.5,94.4,45.9,48.5,0.0,0.0,27.2,0.0,106.1,70.8,0.0,0.0,10.3,3.6,2.6,0.0,1.9,0.8,0.5,2.0,0.6,49.3,94.0,0.0,0.0,0.7,2.2,0.0,6.0,12.7,0.0
2,20170103,29152,28131,1021,3.63,320.449,234.19299999999998,0,62.7,0.0,0.0,94.4,94.2,0.0,0.0,53.1,53.1,53.5,53.2,54.1,52.9,52.9,53.3,0.0,52.7,47.8,47.8,52.0,0.0,,,59.9,0.0,43.0,56.9,57.0,89.5,342.3,126.0,195.9,76.1,94.4,92.0,49.0,64.6,0.0,27.1,68.7,106.4,73.3,54.5,35.8,10.0,3.1,5.5,0.0,3.9,2.1,0.9,1.6,0.8,39.5,68.3,0.0,0.0,0.4,3.9,0.0,4.0,25.2,0.0
3,20170104,29757,28485,1272,4.47,329.62300000000005,240.898,0,62.8,0.0,0.0,94.4,94.2,0.0,76.4,52.5,52.9,53.3,53.1,54.1,52.9,53.0,53.3,0.0,52.7,47.7,48.0,52.0,0.0,,,59.8,0.0,42.8,57.0,57.0,90.4,334.3,131.7,201.4,75.9,94.4,92.1,48.0,64.7,0.0,27.1,68.7,106.1,73.3,55.9,0.0,10.4,3.6,2.5,0.0,2.5,1.2,4.0,1.8,0.5,40.9,68.3,0.0,0.0,0.4,3.1,0.0,15.9,9.3,0.0
4,20170105,30065,28336,1729,6.1,330.13699999999994,241.273,0,62.8,0.0,0.0,94.4,94.2,0.0,75.3,53.0,52.7,53.7,53.0,54.1,52.9,52.9,53.2,0.0,52.7,47.8,47.9,38.3,0.0,,,59.6,60.2,57.2,57.1,57.1,85.5,335.4,129.8,178.5,75.9,94.4,92.1,48.6,62.1,0.0,27.3,66.3,105.7,72.0,54.9,0.0,10.5,3.2,3.0,0.0,2.0,0.5,4.0,1.6,0.5,26.3,61.5,0.0,0.0,0.3,2.1,0.0,9.3,6.5,0.0
5,20170106,29154,28002,1152,4.12,330.589,241.60299999999998,0,62.6,0.0,0.0,94.4,94.2,0.0,17.9,53.1,52.7,53.5,53.1,54.0,52.8,52.7,53.4,0.0,52.6,47.8,47.8,51.9,0.0,,,59.6,0.0,57.1,57.0,57.0,88.4,334.6,131.3,187.0,75.8,94.4,92.0,48.7,64.7,0.0,27.0,68.7,106.2,71.9,44.9,35.6,10.3,5.9,3.0,0.0,2.0,0.8,4.0,1.3,0.4,28.3,53.2,0.0,0.0,4.2,3.5,0.0,9.2,20.0,0.0
6,20170107,27814,25600,2214,8.65,306.51599999999996,224.01,0,62.8,0.0,0.0,94.4,94.2,0.0,76.3,53.1,52.9,53.4,53.2,54.1,52.8,52.8,53.3,0.0,52.7,47.9,47.8,51.9,0.0,,,57.1,0.0,57.2,57.0,57.0,60.6,308.3,125.8,168.7,71.6,94.4,46.1,0.0,63.6,53.0,0.0,68.1,104.9,71.6,0.0,0.0,10.3,0.0,2.5,0.0,1.9,0.7,0.0,1.9,0.6,23.0,45.2,0.0,0.0,0.6,2.1,0.0,8.4,4.9,0.0
7,20170108,25977,24133,1844,7.64,283.998,207.554,0,62.5,0.0,0.0,94.3,94.2,0.0,76.4,53.0,52.6,53.5,52.9,54.1,52.8,52.7,53.3,0.0,52.6,47.9,47.9,52.1,0.0,,,57.2,0.0,57.2,57.1,57.0,55.7,281.1,121.6,182.2,73.4,94.4,0.0,49.1,0.0,0.0,4.2,0.0,49.5,100.0,0.0,0.0,7.9,3.9,2.6,0.0,1.7,0.8,0.0,2.2,0.6,34.5,83.6,0.0,0.0,1.1,2.8,0.0,8.1,29.8,0.0
8,20170109,29377,27670,1707,6.17,315.17,230.335,0,62.7,0.0,0.0,94.4,94.3,0.0,76.4,53.1,53.0,53.5,52.7,54.1,52.8,52.6,53.3,0.0,52.6,47.8,47.8,51.9,0.0,,,59.9,0.0,57.1,56.8,57.2,85.2,293.3,131.9,163.7,72.8,94.4,92.0,45.2,63.7,53.1,27.6,68.1,99.7,114.5,0.0,0.0,7.7,3.0,6.0,0.0,2.2,0.7,3.0,1.4,0.4,14.4,42.2,0.0,0.0,0.0,2.3,0.0,9.2,35.8,0.0
9,20170110,29039,27787,1252,4.51,322.524,235.71,0,62.8,0.0,0.0,94.5,94.3,0.0,37.7,52.9,53.4,53.3,53.2,54.0,52.8,52.7,53.3,0.0,52.5,48.0,47.9,52.1,0.0,,,59.6,0.0,57.2,57.1,57.0,82.9,284.7,115.2,190.8,74.5,94.5,92.0,49.3,59.6,53.1,27.5,66.4,106.1,114.8,0.0,0.0,10.3,3.9,5.0,0.0,3.1,1.2,3.0,2.7,0.9,38.7,63.5,0.0,0.0,0.7,2.5,0.0,10.3,37.6,0.0
