holiday,ds,lower_window,upper_window
chinese_new_year,2014-02-01,0,0
chinese_new_year,2014-02-02,0,0
chinese_new_year,2015-02-19,0,0
chinese_new_year,2015-02-20,0,0
chinese_new_year,2016-02-08,0,0
chinese_new_year,2016-02-09,0,0
chinese_new_year,2016-02-10,0,0
chinese_new_year,2016-02-11,0,0
chinese_new_year,2016-02-12,0,0
chinese_new_year,2017-01-27,0,0
chinese_new_year,2017-01-30,0,0
chinese_new_year,2018-02-15,0,0
chinese_new_year,2018-02-16,0,0
chinese_new_year,2019-02-04,0,0
chinese_new_year,2019-02-05,0,0
chinese_new_year,2019-02-06,0,0
chinese_new_year,2019-02-07,0,0
chinese_new_year,2019-02-08,0,0
new_year,2014-01-01,0,0
new_year,2015-01-01,0,0
new_year,2016-01-01,0,0
new_year,2017-01-02,0,0
new_year,2018-01-01,0,0
new_year,2019-01-01,0,0
tomb_sweeping,2014-04-04,0,0
tomb_sweeping,2015-04-03,0,0
tomb_sweeping,2016-04-04,0,0
tomb_sweeping,2016-04-05,0,0
tomb_sweeping,2017-04-03,0,0
tomb_sweeping,2017-04-04,0,0
tomb_sweeping,2018-04-04,0,0
tomb_sweeping,2018-04-05,0,0
tomb_sweeping,2019-04-04,0,0
tomb_sweeping,2019-04-05,0,0
228_peace,2014-02-28,0,0
228_peace,2015-02-27,0,0
228_peace,2016-02-29,0,0
228_peace,2017-02-28,0,0
228_peace,2018-02-28,0,0
228_peace,2019-02-28,0,0
228_peace,2019-03-10,0,0
